Threatened_species,Year,Series,Value
Solomon Islands,2004,Threatened Species: Plants (number),16
Nepal,2020,Threatened Species: Total (number),109
Pakistan,2020,Threatened Species: Total (number),155
Somalia,2019,Threatened Species: Invertebrates (number),62
Solomon Islands,2017,Threatened Species: Total (number),245
Kiribati,2010,Threatened Species: Invertebrates (number),73
Angola,2018,Threatened Species: Total (number),154
Georgia,2020,Threatened Species: Vertebrates (number),42
Curaçao,2019,Threatened Species: Invertebrates (number),11
Lesotho,2017,Threatened Species: Plants (number),4
Latvia,2020,Threatened Species: Invertebrates (number),12
Iraq,2017,Threatened Species: Invertebrates (number),17
Hungary,2004,Threatened Species: Invertebrates (number),25
Croatia,2004,Threatened Species: Total (number),57
Anguilla,2020,Threatened Species: Total (number),60
Austria,2017,Threatened Species: Invertebrates (number),71
Grenada,2019,Threatened Species: Total (number),56
Papua New Guinea,2004,Threatened Species: Total (number),295
Niue,2004,Threatened Species: Invertebrates (number),0
Papua New Guinea,2017,Threatened Species: Vertebrates (number),160
Guinea,2016,Threatened Species: Plants (number),44
Mali,2017,Threatened Species: Plants (number),8
Papua New Guinea,2018,Threatened Species: Plants (number),158
Bangladesh,2016,Threatened Species: Vertebrates (number),120
Iraq,2004,Threatened Species: Plants (number),0
United States of America,2020,Threatened Species: Vertebrates (number),482
Singapore,2004,Threatened Species: Total (number),85
Kazakhstan,2016,Threatened Species: Plants (number),16
Andorra,2018,Threatened Species: Total (number),14
"China, Macao SAR",2017,Threatened Species: Vertebrates (number),10
Netherlands,2020,Threatened Species: Total (number),71
Micronesia (Fed. States of),2019,Threatened Species: Vertebrates (number),49
Kyrgyzstan,2020,Threatened Species: Plants (number),13
French Polynesia,2010,Threatened Species: Plants (number),47
Guadeloupe,2017,Threatened Species: Total (number),73
Dominican Republic,2017,Threatened Species: Plants (number),42
Puerto Rico,2017,Threatened Species: Vertebrates (number),69
United Arab Emirates,2017,Threatened Species: Vertebrates (number),41
Luxembourg,2010,Threatened Species: Invertebrates (number),4
Ghana,2016,Threatened Species: Plants (number),119
Burundi,2010,Threatened Species: Vertebrates (number),43
Peru,2017,Threatened Species: Invertebrates (number),8
Romania,2019,Threatened Species: Total (number),138
Malaysia,2019,Threatened Species: Vertebrates (number),343
Venezuela (Boliv. Rep. of),2020,Threatened Species: Vertebrates (number),251
Romania,2020,Threatened Species: Invertebrates (number),67
Luxembourg,2018,Threatened Species: Total (number),11
Mayotte,2017,Threatened Species: Plants (number),0
Lithuania,2017,Threatened Species: Plants (number),2
Kenya,2018,Threatened Species: Vertebrates (number),169
Vanuatu,2018,Threatened Species: Total (number),139
Senegal,2019,Threatened Species: Plants (number),20
Philippines,2018,Threatened Species: Vertebrates (number),302
Mali,2016,Threatened Species: Vertebrates (number),34
Costa Rica,2019,Threatened Species: Vertebrates (number),176
Nicaragua,2017,Threatened Species: Plants (number),46
Brunei Darussalam,2010,Threatened Species: Invertebrates (number),1
Guyana,2020,Threatened Species: Vertebrates (number),86
Poland,2018,Threatened Species: Plants (number),14
Malawi,2016,Threatened Species: Vertebrates (number),135
Liechtenstein,2010,Threatened Species: Invertebrates (number),2
Sri Lanka,2010,Threatened Species: Total (number),552
Mauritius,2016,Threatened Species: Plants (number),90
Serbia and Monten. [former],2004,Threatened Species: Invertebrates (number),19
Liberia,2016,Threatened Species: Vertebrates (number),108
Fiji,2016,Threatened Species: Vertebrates (number),52
Mayotte,2020,Threatened Species: Plants (number),4
Hungary,2018,Threatened Species: Vertebrates (number),26
Christmas Island,2016,Threatened Species: Total (number),39
Peru,2004,Threatened Species: Total (number),508
French Polynesia,2016,Threatened Species: Total (number),175
Mongolia,2017,Threatened Species: Invertebrates (number),3
Uruguay,2017,Threatened Species: Invertebrates (number),2
Saint Helena,2018,Threatened Species: Invertebrates (number),33
Eritrea,2017,Threatened Species: Vertebrates (number),59
"China, Hong Kong SAR",2018,Threatened Species: Vertebrates (number),49
Madagascar,2018,Threatened Species: Total (number),1616
Azerbaijan,2004,Threatened Species: Invertebrates (number),6
Ethiopia,2019,Threatened Species: Invertebrates (number),15
Kazakhstan,2010,Threatened Species: Total (number),73
Mozambique,2010,Threatened Species: Plants (number),52
Costa Rica,2010,Threatened Species: Invertebrates (number),27
Liberia,2010,Threatened Species: Total (number),147
Saint Vincent & Grenadines,2004,Threatened Species: Invertebrates (number),0
Mongolia,2016,Threatened Species: Vertebrates (number),37
Equatorial Guinea,2004,Threatened Species: Vertebrates (number),38
Brunei Darussalam,2010,Threatened Species: Plants (number),99
Antigua and Barbuda,2019,Threatened Species: Plants (number),4
Brazil,2019,Threatened Species: Plants (number),582
Barbados,2016,Threatened Species: Plants (number),3
Senegal,2017,Threatened Species: Invertebrates (number),13
Latvia,2017,Threatened Species: Vertebrates (number),17
Lesotho,2019,Threatened Species: Vertebrates (number),13
China,2017,Threatened Species: Invertebrates (number),76
Nigeria,2004,Threatened Species: Total (number),232
Ghana,2020,Threatened Species: Plants (number),122
Argentina,2016,Threatened Species: Vertebrates (number),172
North Macedonia,2016,Threatened Species: Invertebrates (number),70
Bermuda,2018,Threatened Species: Total (number),72
New Caledonia,2004,Threatened Species: Plants (number),217
Areas n.e.s,2017,Threatened Species: Invertebrates (number),1
Liechtenstein,2018,Threatened Species: Total (number),8
Jersey,2010,Threatened Species: Plants (number),0
Pakistan,2018,Threatened Species: Total (number),145
Rwanda,2016,Threatened Species: Plants (number),8
Malta,2004,Threatened Species: Total (number),25
Djibouti,2016,Threatened Species: Vertebrates (number),38
Netherlands,2018,Threatened Species: Invertebrates (number),11
Oman,2016,Threatened Species: Total (number),99
Syrian Arab Republic,2010,Threatened Species: Vertebrates (number),68
Venezuela (Boliv. Rep. of),2016,Threatened Species: Invertebrates (number),26
Portugal,2016,Threatened Species: Vertebrates (number),92
Yemen,2019,Threatened Species: Plants (number),163
United States Virgin Islands,2018,Threatened Species: Plants (number),17
Guam,2004,Threatened Species: Plants (number),3
Antarctica,2018,Threatened Species: Total (number),6
Bahrain,2010,Threatened Species: Invertebrates (number),13
Colombia,2016,Threatened Species: Vertebrates (number),518
Burundi,2018,Threatened Species: Plants (number),89
Heard Is. and McDonald Is.,2018,Threatened Species: Total (number),12
Anguilla,2019,Threatened Species: Invertebrates (number),10
Iceland,2010,Threatened Species: Plants (number),0
Eswatini,2019,Threatened Species: Invertebrates (number),0
Andorra,2017,Threatened Species: Invertebrates (number),8
Dominica,2004,Threatened Species: Invertebrates (number),0
Kenya,2017,Threatened Species: Plants (number),232
Western Sahara,2019,Threatened Species: Plants (number),0
Singapore,2010,Threatened Species: Vertebrates (number),58
Oman,2004,Threatened Species: Invertebrates (number),1
Morocco,2017,Threatened Species: Vertebrates (number),103
Tunisia,2019,Threatened Species: Invertebrates (number),20
Switzerland,2010,Threatened Species: Plants (number),3
Oman,2018,Threatened Species: Invertebrates (number),31
Equatorial Guinea,2017,Threatened Species: Vertebrates (number),85
Saint Pierre and Miquelon,2004,Threatened Species: Invertebrates (number),0
Uruguay,2018,Threatened Species: Plants (number),22
Mali,2018,Threatened Species: Invertebrates (number),0
Netherlands Antilles [former],2004,Threatened Species: Vertebrates (number),26
Kuwait,2004,Threatened Species: Invertebrates (number),0
Mozambique,2010,Threatened Species: Vertebrates (number),98
Austria,2020,Threatened Species: Vertebrates (number),28
Guinea-Bissau,2010,Threatened Species: Vertebrates (number),48
State of Palestine,2016,Threatened Species: Vertebrates (number),23
Liechtenstein,2016,Threatened Species: Vertebrates (number),2
Austria,2004,Threatened Species: Invertebrates (number),44
Dem. Rep. of the Congo,2017,Threatened Species: Invertebrates (number),53
Belize,2004,Threatened Species: Invertebrates (number),1
Saint Pierre and Miquelon,2019,Threatened Species: Vertebrates (number),16
New Caledonia,2017,Threatened Species: Vertebrates (number),116
Belgium,2017,Threatened Species: Vertebrates (number),22
Falkland Islands (Malvinas),2018,Threatened Species: Total (number),22
Kiribati,2004,Threatened Species: Plants (number),0
Peru,2019,Threatened Species: Invertebrates (number),9
Belize,2020,Threatened Species: Vertebrates (number),78
Yemen,2020,Threatened Species: Invertebrates (number),68
Svalbard and Jan Mayen Is.,2004,Threatened Species: Total (number),9
Malta,2004,Threatened Species: Plants (number),0
Bhutan,2018,Threatened Species: Invertebrates (number),1
Maldives,2016,Threatened Species: Invertebrates (number),46
India,2016,Threatened Species: Vertebrates (number),528
Albania,2010,Threatened Species: Total (number),100
Latvia,2016,Threatened Species: Invertebrates (number),12
Mauritania,2018,Threatened Species: Invertebrates (number),3
Seychelles,2018,Threatened Species: Invertebrates (number),320
Canada,2020,Threatened Species: Vertebrates (number),95
Ecuador,2020,Threatened Species: Vertebrates (number),470
China,2018,Threatened Species: Plants (number),588
Bangladesh,2018,Threatened Species: Vertebrates (number),125
Viet Nam,2020,Threatened Species: Plants (number),260
El Salvador,2018,Threatened Species: Total (number),87
United States of America,2019,Threatened Species: Vertebrates (number),479
Somalia,2018,Threatened Species: Total (number),179
Panama,2010,Threatened Species: Invertebrates (number),20
Italy,2004,Threatened Species: Plants (number),3
Kuwait,2020,Threatened Species: Vertebrates (number),44
Pakistan,2016,Threatened Species: Total (number),140
Central African Republic,2018,Threatened Species: Vertebrates (number),38
Cameroon,2004,Threatened Species: Plants (number),334
Guatemala,2010,Threatened Species: Total (number),230
Croatia,2018,Threatened Species: Invertebrates (number),79
Gabon,2019,Threatened Species: Invertebrates (number),4
Mali,2018,Threatened Species: Vertebrates (number),35
"China, Macao SAR",2018,Threatened Species: Plants (number),0
Eswatini,2004,Threatened Species: Total (number),23
Grenada,2019,Threatened Species: Invertebrates (number),10
Paraguay,2017,Threatened Species: Total (number),59
Saint Helena,2018,Threatened Species: Total (number),118
Guinea,2017,Threatened Species: Total (number),185
Austria,2004,Threatened Species: Total (number),67
Congo,2017,Threatened Species: Invertebrates (number),7
Hungary,2017,Threatened Species: Plants (number),11
Liechtenstein,2004,Threatened Species: Total (number),8
Libya,2018,Threatened Species: Invertebrates (number),4
Mayotte,2019,Threatened Species: Plants (number),4
Libya,2017,Threatened Species: Plants (number),3
Kenya,2017,Threatened Species: Invertebrates (number),86
Monaco,2010,Threatened Species: Plants (number),0
Timor-Leste,2019,Threatened Species: Total (number),35
Malta,2004,Threatened Species: Vertebrates (number),22
Morocco,2004,Threatened Species: Total (number),50
Israel,2004,Threatened Species: Vertebrates (number),47
Bulgaria,2018,Threatened Species: Total (number),115
Namibia,2016,Threatened Species: Invertebrates (number),4
Mali,2010,Threatened Species: Plants (number),6
Pitcairn,2019,Threatened Species: Vertebrates (number),19
New Caledonia,2004,Threatened Species: Vertebrates (number),34
Greenland,2020,Threatened Species: Total (number),27
Iran (Islamic Republic of),2016,Threatened Species: Invertebrates (number),24
Christmas Island,2016,Threatened Species: Plants (number),1
Eswatini,2004,Threatened Species: Invertebrates (number),0
"Bonaire, St. Eustatius & Saba",2016,Threatened Species: Vertebrates (number),42
Georgia,2019,Threatened Species: Invertebrates (number),15
Peru,2016,Threatened Species: Invertebrates (number),8
Cabo Verde,2017,Threatened Species: Vertebrates (number),49
Liechtenstein,2020,Threatened Species: Invertebrates (number),6
Sudan,2004,Threatened Species: Vertebrates (number),36
Dem. People's Rep. Korea,2004,Threatened Species: Plants (number),3
Senegal,2010,Threatened Species: Plants (number),9
Dem. Rep. of the Congo,2004,Threatened Species: Vertebrates (number),84
Peru,2010,Threatened Species: Invertebrates (number),3
Mali,2004,Threatened Species: Invertebrates (number),0
Antigua and Barbuda,2010,Threatened Species: Invertebrates (number),11
Côte d’Ivoire,2016,Threatened Species: Total (number),245
Tuvalu,2019,Threatened Species: Vertebrates (number),20
Argentina,2020,Threatened Species: Total (number),285
Timor-Leste,2004,Threatened Species: Vertebrates (number),11
Philippines,2016,Threatened Species: Total (number),778
American Samoa,2018,Threatened Species: Vertebrates (number),27
Poland,2020,Threatened Species: Invertebrates (number),28
Thailand,2010,Threatened Species: Plants (number),91
Denmark,2020,Threatened Species: Invertebrates (number),16
Brunei Darussalam,2019,Threatened Species: Total (number),236
Luxembourg,2016,Threatened Species: Vertebrates (number),4
Réunion,2020,Threatened Species: Plants (number),21
Singapore,2017,Threatened Species: Vertebrates (number),63
Afghanistan,2017,Threatened Species: Vertebrates (number),35
